Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
598769,Nick Anderson,KC,33,102,0,0,0,98.4,94,38,88,36,10,12,2,2,4,34,4.4,1.81,AL,"['ATL', 'KC']","['AL', 'NL']",389.20000000000005,0,0,0,"[2022, 2023, 2024]",0.37629937629937626,130,295.20000000000005,4.1686274509803924,0,100,Active,0
486492,Chris Devenski,TB,33,37500,0,0,0,43500.00000000001,47500,29375,40625,11250,8750,5625,3750,0,4375,6250,7.71,1.79,AL,"['LAA', 'ARI', 'PHI', 'TB']","['NL', 'AL']",178000.00000000003,0,0,0,"[2022, 2023, 2024]",0.3736951983298539,58750,130500.00000000003,5.046666666666668,0,100,Active,0
480152,Andrew Chafin,DET,33,9152,0,0,0,7820.8,6656,3264,9216,3456,832,448,512,704,576,2432,3.86,1.29,AL,"['ARI', 'DET', 'MIL']","['NL', 'AL']",30118.4,0,0,0,"[2022, 2023, 2024]",0.30069930069930073,10112,23462.4,3.6685314685314685,0,100,Active,0
411380,Jordan Weems,WSH,31,900,0,0,0,966.6000000000001,774,468,1035,441,153,54,27,0,45,99,4.5,1.57,AL,"['WAS', 'WSH']","['AL', 'NL']",3673.8,0,0,0,"[2022, 2023, 2024]",0.3435448577680525,1215,2899.8,4.572,0,100,Active,0
92903,Tyler Beede,CLE,30,396,45,0,0,669.6,783,432,513,342,81,27,45,0,0,45,8.36,1.79,AL,"['PIT', 'SF', 'CLE']","['AL', 'NL']",2791.8,0,0,0,"[2022, 2023, 2024]",0.3736951983298539,1125,2008.8000000000002,7.913636363636364,0,100,Active,0
199353,Jose Cisnero,LAA,35,945,0,0,0,882.8999999999999,855,441,981,459,126,36,36,18,27,180,7.07,1.71,AL,"['LAA', 'DET']",['AL'],3503.7,0,0,0,"[2022, 2023, 2024]",0.3630573248407643,1314,2648.7,4.193333333333333,0,100,Active,0
621731,Tim Hill,CWS,34,1071,0,0,0,954.8999999999999,1098,450,513,306,72,45,36,0,36,144,2.57,1.71,AL,"['CWS', 'SD']","['AL', 'NL']",3962.7,0,0,0,"[2022, 2023, 2024]",0.3630573248407643,1404,2864.7,3.9857142857142858,0,100,Active,0
431266,Caleb Ferguson,NYY,27,1098,72,0,0,974.7,909,360,1116,432,72,72,63,36,54,270,6.43,1.57,AL,"['NYY', 'LAD']",['AL'],3833.1000000000004,0,0,0,"[2022, 2023, 2024]",0.3435448577680525,1341,2924.1000000000004,3.8844262295081973,0,100,Active,0
266277,Deivi Garcia,CWS,24,198,0,0,0,254.70000000000002,225,135,225,207,36,9,27,18,9,0,7.07,1.93,AL,"['CWS', 'NYY']",['AL'],989.1,0,0,0,"[2022, 2023, 2024]",0.39148073022312374,432,764.1,6.04090909090909,0,100,Active,0
744031,Jared Shuster,CWS,25,32,22,0,0,132.4,126,76,76,62,16,8,6,0,0,2,2.57,1.07,AL,"['CWS', 'ATL']","['AL', 'NL']",523.2,0,0,0,"[2022, 2023, 2024]",0.2628992628992629,188,397.20000000000005,18.2875,0,100,Active,0
747492,Nate Pearson,TOR,27,102,0,0,0,112.4,100,62,118,50,16,10,4,4,4,6,5.14,1.5,AL,['TOR'],['AL'],437.20000000000005,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,150,337.20000000000005,4.776470588235295,0,100,Active,0
940899,Calvin Faucher,MIA,28,450,36,0,0,535.5,621,333,549,252,72,36,45,9,9,36,2.63,1.32,NL,"['TB', 'MIA']","['NL', 'AL']",2227.5,0,0,0,"[2022, 2023, 2024]",0.3055555555555555,873,1606.5,5.51,0,100,Active,0
445533,Landen Roupp,SF,25,10,0,0,0,13.2,14,8,12,8,1,0,0,0,0,0,5.27,1.61,NL,['SF'],['NL'],53.599999999999994,0,0,0,"[2022, 2023, 2024]",0.3492407809110629,22,39.599999999999994,6.159999999999999,0,100,Active,0
